Accession,Gene Symbol
A0A075B5P9,Ighv5-4
A0A087WPP3,Gm20820
A0A0A6YY25,Btbd18
A0A0B4J1N1,Trav7n-6
A0A0J9YVH3,AU041133
A0A571BFV9,Iqcf6
A3KGS3,Ralgapa2
A3KGY3,Or4c110
E9PVR6,Vmn1r1
E9PYL5,Vmn2r7
E9Q357,Heatr4
E9Q838,Or52s6
E9Q8A4,Fbxw28
G3X8Q1,Cabin1
L7N1Z4,Vmn2r31
L7N1Z8,Or5h23
O35451,Atf6b
O35841,Api5
P01629,N/A
P01637,N/A
P01667,N/A
P01670,N/A
P01671,N/A
P01672,N/A
P01724,N/A
P01727,N/A
P01728,N/A
P01746,N/A
P01811,N/A
P01851,N/A
P03976,N/A
P03985,N/A
P04769,Prl7d1
P06323,N/A
P17208,Pou4f1
P30051,Tead1
P41136,Id2
P48985,Atoh1
P50295,Nat2
P50636,Rnf19a
P51150,Rab7a
P59108,Cpne2
P59178,L3mbtl2
P61364,Ostn
P83714,Ctf2
P97441,Slc30a3
Q07279,Nfe2
Q14B80,Kcnc2
Q3TMP1,Gtf3c3
Q3TVP5,Otulinl
Q3UMY5,Eml4
Q3UTH8,Arhgef9
Q3UTZ3,Trappc14
Q3V0G7,Garnl3
Q58A37,Klrh1
Q60879,Or1j1
Q61595,Ktn1
Q62141,Sin3b
Q6F3F9,Adgrg6
Q6IQX8,Znf219
Q6P8Q0,Gsta13
Q7TN84,Syt14
Q80ZA4,Pkhd1l1
Q8BH61,F13a1
Q8BK63,Csnk1a1
Q8BNY6,Ncs1
Q8BX23,Zfp874a
Q8CAK1,Iba57
Q8K0S9,Snapc1
Q8K0Y7,Paxx
Q8R060,Zwilch
Q8R5I6,Gstm4
Q8VCP9,Clec14a
Q8VE09,Ttc39c
Q8VEV1,Or2a52
Q8VFI2,Or6c213
Q8VHI7,Ccdc65
Q91X21,Kiaa2013
Q91Y12,Pcdha8
Q99LG2,Tnpo2
Q99PH1,Lrrc4
Q9CQ22,Lamtor1
Q9CRA0,Art4
Q9CX98,Cyp2u1
Q9CXZ1,Ndufs4
Q9CZR4,Cmtm8
Q9D1Q5,Serpinb3b
Q9D4H8,Cul2
Q9EP55,Or2d4
Q9ESN1,Doc2g
Q9JHF9,Ly96
Q9QUS4,Hey2
Q9QWF0,Chaf1a
Q9QY36,Naa10
Q9QY48,Dnase2b
Q9R008,Mvk
Q9WTS6,Tenm3
Q9WUJ8,Orc6
Q9Z0N1,Eif2s3x
Q9Z2H6,Clec4d
A0A0A6YX66,Ighv1-20
A0A1B0GSB3,Fam236d
A0A3Q4EGJ1,Ceacam23
A0A571BF98,Lekr1
A0A571BGC3,Dnah14
A2A4F1,Rhox7a
A2ADB2,Fam131c
A2AGW7,Pramel23
A2AQX6,Gm14151
A2RRY8,Spats1
A8R0V5,Esp23
F8VPZ9,Bicra
G3X9Z2,Ifitm7
H3BKP8,Brd10
J3QK46,Tmem200c
J3QPZ5,Cfap73
L7N1Z9,Vmn2r93
O35286,Dhx15
O35464,Sema6a
O54957,Lat
O70333,Cript
O70571,Pdk4
P04768,Prl2c3
P22893,Zfp36
P28481,Col2a1
P30557,Ptger3
P49650,P2ry1
P59024,Fkbp14
P60202,Plp1
P70303,Ctps2
Q01514,Gbp1
Q04736,Yes1
Q14DN9,Ankdd1b
Q1AN92,Gm5150
Q3TTP0,Shcbp1l
Q499E5,Stox2
Q5NCR9,Nsrp1
Q64105,Spr
Q64124,Scx
Q64519,Sdc3
Q68FH4,Galk2
Q6NS59,Fam135a
Q6NVG7,Colgalt2
Q6PHN9,Rab35
Q6Q899,Rigi
Q6UJY2,Slc9c1
Q7TR08,Or4c107
Q7TRG4,Or7g25
Q7TSV0,Zfp606
Q80W99,Catsper3
Q80WB5,Ntaq1
Q80ZK9,Wdtc1
Q810H5,Galp
Q811Q9,Pcyt1b
Q8BGU5,Ccny
Q8BM54,Mylip
Q8BUE1,Slc9a4
Q8BWT5,Dip2a
Q8C084,Snx22
Q8C6L5,Cgas
Q8C878,Uba3
Q8CCP0,Nemf
Q8CFA2,Amt
Q8CI08,Slain2
Q8K0C1,Ipo13
Q8K201,Kct2
Q8K224,Nat10
Q8R092,N/A
Q8R256,Vmn1r89
Q8R276,Vmn1r205
Q8VC98,Plekha4
Q8VDM1,Zgpat
Q8VEM9,Klhdc3
Q8VGV7,Or1b1
Q91VX9,Tmem168
Q91YV9,Pgap4
Q96EQ9,Prdm9
Q9CQA5,Med4
Q9CSV6,Sft2d3
Q9D0S4,Neurl2
Q9D1A4,Asb5
Q9D1G1,Rab1b
Q9D244,Rnase6
Q9D2G9,Hhipl2
Q9D2Y4,Mlkl
Q9D411,Tssk4
Q9D583,4930503E14Rik
Q9D832,Dnajb4
Q9DAX9,Appbp2
Q9EQ84,Or10d4c
Q9EQ95,Or8g30
Q9EQY5,Fcrl2
Q9ERV1,Mkrn2
Q9JL35,Hmgn5
Q9JMK0,B4galt5
Q9QUK9,Try5
Q9QXH4,Itgax
Q9QXZ6,Slco1a1
Q9QYC3,Bhlha15
Q9QZC1,Trpc3
A0A075B5Q0,Ighv5-6
A0A075B5W1,Ighv1-50
A0A087WSS9,Gm21996
A0A0A6YW72,Dchs2
A0A0A6YY60,Ighv8-5
A0A0G2JGM3,Traj34
A0A0G2JGQ7,Trav15d-2-dv6d-2
A0A9L6KED2,Gm59508
A0ABA7IXE1,N/A
A2A8N2,Pramel25
A8E0Y8,Cd101
B2RT14,Ugt1a5
E9PXT9,Fam170b
E9Q2H5,Krtap10-21
E9Q7M8,Gm5796
L7N2A4,Vmn2r92
O08550,Kmt2b
O09100,Gata2
O35622,Fgf15
O70137,Alx3
O70343,Ppargc1a
O88379,Baz1a
P01173,Wap
P01573,Ifna2
P06800,Ptprc
P07903,Ercc1
P14131,Rps16
P17892,Pnliprp2
P36423,Tbxas1
P70324,Tbx3
P97772,Grm1
P97801,Smn1
Q11131,Fut7
Q2VLH6,Cd163
Q3U0D9,Hace1
Q3UFY0,Rrp36
Q3UH68,Limch1
Q3UIR3,Dtx3l
Q3UTC0,Pramel17
Q3UUQ7,Pgap1
Q3UZP0,Marveld2
Q3V1B8,Gal3st4
Q3V1N9,A3galt2
Q5DU25,Iqsec2
Q5QD14,Taar5
Q5R1A4,Trdv2-2
Q5STE3,Fstl4
Q60590,Orm1
Q60780,Gas7
Q61103,Dpf2
Q62190,Mst1r
Q69ZX6,Morc2a
Q6NXM2,Rcbtb1
Q6PFR5,Tra2a
Q6PI62,Gpr173
Q7TMB3,Ppp1r3c
Q7TN29,Smap2
Q7TRG2,Or7g27
Q80X56,Trim69
