Accession,Gene Symbol
A0A087X0M5,TRBV18
A0A286YF77,SCYGR6
A6NCW7,USP17L4
A6NGH7,CCDC160
A6NJR5,N/A
A6NL46,N/A
A6NNC1,N/A
A8MV72,N/A
A8MVM7,N/A
C9JI98,TMEM238
D6RGX4,FAM90A26
O00222,GRM8
O14905,WNT9B
O43529,CHST10
O43598,DNPH1
O43734,TRAF3IP2
O60412,OR7C2
O75528,TADA3
O94967,WDR47
O95069,KCNK2
P02741,CRP
P04216,THY1
P05496,ATP5MC1
P0DTF9,PTTG1IP2
P11926,ODC1
P13861,PRKAR2A
P16471,PRLR
P19012,KRT15
P22897,MRC1
P23434,GCSH
P31513,FMO3
P35372,OPRM1
P55196,AFDN
P61204,ARF3
P78386,KRT85
P80075,CCL8
Q01954,BNC1
Q01974,ROR2
Q08334,IL10RB
Q13018,PLA2R1
Q14584,ZNF266
Q15139,PRKD1
Q1EHB4,SLC5A12
Q2L4Q9,PRSS53
Q2WGJ6,KLHL38
Q2YD98,UVSSA
Q56VL3,OCIAD2
Q5EBM0,CMPK2
Q5JTJ3,COA6
Q5VZR4,MFSD14CP
Q5W150,N/A
Q64ET8,FRG2
Q6IPT4,CYB5RL
Q6NZ36,FAAP20
Q6NZ67,MZT2B
Q6ZQQ6,WDR87
Q6ZS92,N/A
Q6ZSR6,N/A
Q86X27,RALGPS2
Q86Z14,KLB
Q8IVT2,MISP
Q8IXS8,HYCC2
Q8N814,N/A
Q8N976,N/A
Q8N9P0,N/A
Q8NB50,ZFP62
Q8NCX0,CCDC150
Q8NE18,NSUN7
Q8NE28,STKLD1
Q8NEF3,CCDC112
Q8NGI2,OR52N4
Q8NHS4,CLHC1
Q8TBY0,RBM46
Q8TC57,M1AP
Q8TCD1,C18orf32
Q8TDY4,ASAP3
Q8WVN8,UBE2Q2
Q8WWP7,GIMAP1
Q92484,SMPDL3A
Q92888,ARHGEF1
Q96JP9,CDHR1
Q96KN4,LRATD1
Q96LA5,FCRL2
Q96LA6,FCRL1
Q96PG2,MS4A10
Q9BSA9,TMEM175
Q9BUR5,APOO
Q9BZJ4,SLC25A39
Q9H0Z9,RBM38
Q9H521,N/A
Q9HBE5,IL21R
Q9NUJ1,ABHD10
Q9NYJ7,DLL3
Q9UHK0,NUFIP1
Q9UHV5,RAPGEFL1
Q9UK58,CCNL1
